Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
38              0.125           87              [0,34,4]                                           3                              38              38              0.0            
38              0.25            175             [0,1,6,15]                                         4                              38              38              0.0            
38              0.5             351             [0,1,4,37,36]                                      5                              38              38              0.0            
38              0.75            527             [0,1,32,4,5,7,8,13,16,26]                          10                             38              38              0.0            
39              0.125           92              [0,1]                                              2                              39              39              0.0            
39              0.25            185             [0,11,3,21]                                        4                              39              39              0.0            
39              0.5             370             [0,7,16,23,27]                                     5                              39              39              0.0            
39              0.75            555             [0,1,2,8,12,13,18,21,27]                           9                              39              39              0.0            
40              0.125           97              [0,4]                                              2                              40              40              0.0            
40              0.25            195             [0,17,4,5]                                         4                              40              40              0.0            
40              0.5             390             [0,4,8,16,17]                                      5                              40              40              0.0            
40              0.75            585             [0,1,2,6,10,12,13,27]                              8                              40              40              0.0            
41              0.125           102             [0,16,12]                                          3                              41              41              0.0            
41              0.25            205             [0,3]                                              2                              41              41              0.0            
41              0.5             410             [0,2,5,13,17]                                      5                              41              41              0.0            
41              0.75            615             [0,1,2,32,5,39,8,13,23]                            9                              41              41              0.0            
42              0.125           107             [0,35,3]                                           3                              42              42              0.0            
42              0.25            215             [0,9,19,4]                                         4                              42              42              0.0            
42              0.5             430             [0,7,8,14,24]                                      5                              42              42              0.0            
42              0.75            645             [0,1,2,3,4,6,7,24,31]                              9                              42              42              0.0            
43              0.125           112             [0,1,9]                                            3                              43              43              0.0            
43              0.25            225             [0,1,29,7]                                         4                              43              43              0.0            
43              0.5             451             [0,1,4,8,15]                                       5                              43              43              0.0            
43              0.75            677             [0,1,2,3,4,8,13,19]                                8                              43              43              0.0            
44              0.125           118             [0,11]                                             2                              44              44              0.0            
44              0.25            236             [0,2,18]                                           3                              44              44              0.0            
44              0.5             473             [0,2,3,14,24]                                      5                              44              44              0.0            
44              0.75            709             [0,1,4,5,6,9,12,23,30]                             9                              44              44              0.0            
45              0.125           123             [0,22]                                             2                              45              45              0.0            
45              0.25            247             [0,13,7]                                           3                              45              45              0.0            
45              0.5             495             [0,1,5,15,18,28]                                   6                              45              45              0.0            
45              0.75            742             [0,2,3,35,7,8,13,14,31]                            9                              45              45              0.0            
46              0.125           129             [0,1]                                              2                              46              46              0.0            
46              0.25            258             [0,1]                                              2                              46              46              0.0            
46              0.5             517             [0,1,9,11,13]                                      5                              46              46              0.0            
46              0.75            776             [0,1,3,7,10,42,12,13,14,17,19,21]                  12                             46              46              0.0            
47              0.125           135             [0,8,36]                                           3                              47              47              0.0            
47              0.25            270             [0,8,5]                                            3                              47              47              0.0            
47              0.5             540             [0,1,37,9,43,28]                                   6                              47              47              0.0            
47              0.75            810             [0,2,3,6,39,12,20,21,28,29]                        10                             47              47              0.0            
48              0.125           141             [0,42,4]                                           3                              48              48              0.0            
48              0.25            282             [0,9,30]                                           3                              48              48              0.0            
48              0.5             564             [0,1,2,34,6,28]                                    6                              48              48              0.0            
48              0.75            846             [0,1,2,34,7,9,26,29,30]                            9                              48              48              0.0            
49              0.125           147             [0,39,7]                                           3                              49              49              0.0            
49              0.25            294             [0,2,13]                                           3                              49              49              0.0            
49              0.5             588             [0,1,13,20,27,30]                                  6                              49              49              0.0            
49              0.75            882             [0,3,4,8,10,44,17,22,30]                           9                              49              49              0.0            
50              0.125           153             [0,1]                                              2                              50              50              0.0            
50              0.25            306             [0,2,5]                                            3                              50              50              0.0            
50              0.5             612             [0,1,3,25]                                         4                              50              50              0.0            
50              0.75            918             [0,2,34,35,37,11,18,19,22,28]                      10                             50              50              0.0            
51              0.125           159             [0,3,31]                                           3                              51              51              0.0            
51              0.25            318             [0,17,34,3]                                        4                              51              51              0.0            
51              0.5             637             [0,2,4,40,41,19]                                   6                              51              51              0.0            
51              0.75            956             [0,1,2,32,4,33,6,17]                               8                              51              51              0.0            
52              0.125           165             [0,26,4]                                           3                              52              52              0.0            
52              0.25            331             [0,1,40,3]                                         4                              52              52              0.0            
52              0.5             663             [0,1,3,11,31]                                      5                              52              52              0.0            
52              0.75            994             [0,1,2,3,4,7,9,42,14,23]                           10                             52              52              0.0            
53              0.125           172             [0,5]                                              2                              53              53              0.0            
53              0.25            344             [0,42,3]                                           3                              53              53              0.0            
53              0.5             689             [0,3,6,8,13,30]                                    6                              53              53              0.0            
53              0.75            1033            [0,1,2,4,37,9,14,17,50,19,52]                      11                             53              53              0.0            
54              0.125           178             [0,8]                                              2                              54              54              0.0            
54              0.25            357             [0,3,21]                                           3                              54              54              0.0            
54              0.5             715             [0,2,5,9,27]                                       5                              54              54              0.0            
54              0.75            1073            [0,1,2,3,8,10,42,46,21,23,25,31]                   12                             54              54              0.0            
55              0.125           185             [0,16]                                             2                              55              55              0.0            
55              0.25            371             [0,8,5]                                            3                              55              55              0.0            
55              0.5             742             [0,1,3,17,19]                                      5                              55              55              0.0            
55              0.75            1113            [0,1,3,4,7,10,49,21,28]                            9                              55              55              0.0            
56              0.125           192             [0,2]                                              2                              56              56              0.0            
56              0.25            385             [0,1,5]                                            3                              56              56              0.0009987354278564453
56              0.5             770             [0,5,10,14,15,18]                                  6                              56              56              0.0            
56              0.75            1155            [0,1,6,9,10,13,25,29,31]                           9                              56              56              0.0            
57              0.125           199             [0,10,45,23]                                       4                              57              57              0.0            
57              0.25            399             [0,3,12,29]                                        4                              57              57              0.0            
57              0.5             798             [0,1,34,3,15]                                      5                              57              57              0.0            
57              0.75            1197            [0,1,4,13,14,15,46,18,50,55]                       10                             57              57              0.0            
58              0.125           206             [0,16]                                             2                              58              58              0.0            
58              0.25            413             [0,48,4]                                           3                              58              58              0.0013647079467773438
58              0.5             826             [0,1,34,3,4,17,57]                                 7                              58              58              0.0            
58              0.75            1239            [0,32,2,3,7,10,20,30]                              8                              58              58              0.0            
59              0.125           213             [0,1,21]                                           3                              59              59              0.0            
59              0.25            427             [0,8,2,31]                                         4                              59              59              0.0            
59              0.5             855             [0,34,4,7,9,12,14]                                 7                              59              59              0.0            
59              0.75            1283            [0,1,2,35,5,6,7,38,44,14,15,18,58]                 13                             59              59              0.0            
60              0.125           221             [0,6,55]                                           3                              60              60              0.0            
60              0.25            442             [0,24,2,6]                                         4                              60              60              0.0            
60              0.5             885             [0,2,11,36]                                        4                              60              60              0.0            
60              0.75            1327            [0,1,2,3,4,39,43,20,23]                            9                              60              60              0.0            
61              0.125           228             [0,43,7]                                           3                              61              61              0.0            
61              0.25            457             [0,2,34]                                           3                              61              61              0.0            
61              0.5             915             [0,2,10,15,16,60]                                  6                              61              61              0.0            
61              0.75            1372            [0,1,2,4,6,7,39,14,20,26,27]                       11                             61              61              0.0            
62              0.125           236             [0,15]                                             2                              62              62              0.0            
62              0.25            472             [0,1,61,14]                                        4                              62              62              0.0            
62              0.5             945             [0,3,4,6,8,16]                                     6                              62              62              0.0            
62              0.75            1418            [0,2,3,4,7,9,11,12,18,26,30]                       11                             62              62              0.0            
63              0.125           244             [0,11]                                             2                              63              63              0.0            
63              0.25            488             [0,36,5]                                           3                              63              63              0.0            
63              0.5             976             [0,32,3,5,8]                                       5                              63              63              0.0            
63              0.75            1464            [0,1,2,6,9,42,12,13,21,26]                         10                             63              63              0.0            
64              0.125           252             [0,8,59]                                           3                              64              64              0.0            
64              0.25            504             [0,3,13]                                           3                              64              64              0.0            
64              0.5             1008            [0,1,4,20]                                         4                              64              64              0.0            
64              0.75            1512            [0,1,3,4,5,46,18,55,29]                            9                              64              64              0.0            
65              0.125           260             [0,16]                                             2                              65              65              0.0            
65              0.25            520             [0,10,5]                                           3                              65              65              0.0            
65              0.5             1040            [0,32,2,4,9,52,26]                                 7                              65              65              0.0            
65              0.75            1560            [0,1,3,4,7,10,11,13,17,50]                         10                             65              65              0.0            
66              0.125           268             [0,3]                                              2                              66              66              0.0            
66              0.25            536             [0,28,4,13]                                        4                              66              66              0.0            
66              0.5             1072            [0,6,7,15,17,22,61]                                7                              66              66              0.0            
66              0.75            1608            [0,2,3,4,38,39,9,11,15,20,27]                      11                             66              66              0.0            
67              0.125           276             [0,3]                                              2                              67              67              0.0            
67              0.25            552             [0,8,19]                                           3                              67              67              0.0            
67              0.5             1105            [0,1,7,9,14,60]                                    6                              67              67              0.0            
67              0.75            1658            [0,1,3,4,6,9,10,13,15,48,55,29]                    12                             67              67              0.0            
68              0.125           284             [0,1]                                              2                              68              68              0.0            
68              0.25            569             [0,1]                                              2                              68              68              0.0            
