Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
50              0.75            918             [9,25,43,4,36,7,48,11,42,6]                        10                             5002            412             0.01802349090576172
51              0.125           159             [7,8,6]                                            3                              5002            1244            0.02102208137512207
51              0.25            318             [27,9,48]                                          3                              5002            1207            0.019680023193359375
51              0.5             637             [46,28,21,10,0]                                    5                              5001            758             0.01712965965270996
51              0.75            956             [26,33,2,36,19,40,39,3,13]                         9                              5005            435             0.018024444580078125
52              0.125           165             [45,35,0]                                          3                              5002            1244            0.019613027572631836
52              0.25            331             [29,46,15]                                         3                              5002            1200            0.020022153854370117
52              0.5             663             [23,18,33,17,30,13]                                6                              5002            631             0.01651740074157715
52              0.75            994             [17,38,2,20,7,24,39,3,6]                           9                              5003            432             0.01853346824645996
53              0.125           172             [37,17,36]                                         3                              5002            1242            0.019023418426513672
53              0.25            344             [43,47,35]                                         3                              5001            1201            0.01958179473876953
53              0.5             689             [26,39,38,48,49]                                   5                              5005            771             0.017024755477905273
53              0.75            1033            [50,26,17,4,20,7,37,16,42]                         9                              5001            417             0.017511606216430664
54              0.125           178             [1,45,38]                                          3                              5003            1244            0.019529104232788086
54              0.25            357             [9,18,52]                                          3                              5007            1202            0.02002096176147461
54              0.5             715             [38,30,2,16,52]                                    5                              5008            755             0.017573833465576172
54              0.75            1073            [50,9,43,2,47,35,23,39,3,29]                       10                             5009            409             0.01858067512512207
55              0.125           185             [7,22,38]                                          3                              5003            1243            0.02002429962158203
55              0.25            371             [54,9,4,2]                                         4                              5007            960             0.022019624710083008
55              0.5             742             [31,18,33,30,20]                                   5                              5002            768             0.01753401756286621
55              0.75            1113            [50,46,31,9,47,30,24,39,22,45]                     10                             5004            411             0.019028663635253906
56              0.125           192             [43,11,17]                                         3                              5000            1269            0.019876718521118164
56              0.25            385             [21,40,32,12]                                      4                              5002            1092            0.019022464752197266
56              0.5             770             [54,19,4,13,15]                                    5                              5001            765             0.017173051834106445
56              0.75            1155            [50,31,43,33,52,12,55,40,49,13,34]                 11                             5005            380             0.018061161041259766
57              0.125           199             [42,52,25]                                         3                              5002            1248            0.020020723342895508
57              0.25            399             [54,26,12]                                         3                              5001            1202            0.020770788192749023
57              0.5             798             [21,14,38,4,20]                                    5                              5005            766             0.01902914047241211
57              0.75            1197            [54,2,19,5,14,40,37,23,22,45]                      10                             5010            365             0.01902008056640625
58              0.125           206             [34,7,1]                                           3                              5002            1328            0.020095348358154297
58              0.25            413             [11,46,52,33]                                      4                              5000            951             0.018025875091552734
58              0.5             826             [50,23,19,33,53]                                   5                              5000            755             0.016753673553466797
58              0.75            1239            [50,46,26,28,38,7,24,1,42,6]                       10                             5005            373             0.0190126895904541
59              0.125           213             [34,28,6]                                          3                              5000            1300            0.021027803421020508
59              0.25            427             [15,22,51]                                         3                              5000            1202            0.019149065017700195
59              0.5             855             [20,14,19,29,0]                                    5                              5003            774             0.0175168514251709
59              0.75            1283            [0,1,2,5,6,7,15,30,35,37,44]                       11                             5004            375             0.01870894432067871
60              0.125           221             [49,31,26]                                         3                              5002            1251            0.01957225799560547
60              0.25            442             [54,5,1]                                           3                              5002            1201            0.02002096176147461
60              0.5             885             [50,23,8,27,12,53]                                 6                              5001            632             0.016173839569091797
60              0.75            1327            [9,43,17,32,12,20,53,41,56]                        9                              5016            419             0.018526554107666016
61              0.125           228             [43,7,42]                                          3                              5003            1274            0.019516706466674805
61              0.25            457             [37,55,36]                                         3                              5000            1210            0.01900935173034668
61              0.5             915             [46,20,1,29,53]                                    5                              5003            783             0.019517183303833008
61              0.75            1372            [46,31,2,30,58,37,1,16,34,29,6]                    11                             5006            370             0.018024206161499023
62              0.125           236             [24,14,18]                                         3                              5000            1241            0.019535541534423828
62              0.25            472             [14,33,51,15]                                      4                              5001            1042            0.018586397171020508
62              0.5             945             [28,41,2,13,24,20]                                 6                              5004            726             0.017020463943481445
62              0.75            1418            [54,17,4,12,53,30,44,39,48]                        9                              5002            431             0.019025325775146484
63              0.125           244             [34,3,38]                                          3                              5000            1293            0.019551992416381836
63              0.25            488             [55,52,6]                                          3                              5003            1201            0.020190000534057617
63              0.5             976             [50,26,31,37,47,51]                                6                              5003            694             0.01750922203063965
63              0.75            1464            [54,46,28,26,33,2,32,58,7,29]                      10                             5007            385             0.019025564193725586
64              0.125           252             [32,28,11]                                         3                              5001            1287            0.02002120018005371
64              0.25            504             [43,19,26]                                         3                              5001            1210            0.021529197692871094
64              0.5             1008            [46,62,21,55,42]                                   5                              5001            768             0.017518043518066406
64              0.75            1512            [54,31,60,10,59,23,16,49,29]                       9                              5001            423             0.018030405044555664
65              0.125           260             [11,42,38]                                         3                              5002            1252            0.020640134811401367
65              0.25            520             [54,37,27]                                         3                              5001            1204            0.020025253295898438
65              0.5             1040            [46,26,55,8,6]                                     5                              5002            785             0.018024444580078125
65              0.75            1560            [54,26,9,43,17,2,55,10,23]                         9                              5010            407             0.018019914627075195
66              0.125           268             [7,35,36]                                          3                              5003            1290            0.0211031436920166
66              0.25            536             [32,39,17]                                         3                              5001            1197            0.020023345947265625
66              0.5             1072            [28,9,53,11,2]                                     5                              5003            773             0.018024682998657227
66              0.75            1608            [46,50,25,17,38,27,58,14,59,64]                    10                             5005            368             0.019025325775146484
67              0.125           276             [16,31,12]                                         3                              5002            1242            0.020560264587402344
67              0.25            552             [24,53,0]                                          3                              5003            1201            0.019528865814208984
67              0.5             1105            [23,59,62,22,30]                                   5                              5000            763             0.01851058006286621
67              0.75            1658            [50,9,62,65,44,57,35,61,48,29]                     10                             5009            371             0.019018173217773438
68              0.125           284             [54,26,56]                                         3                              5002            1249            0.020026445388793945
68              0.25            569             [41,9,52]                                          3                              5001            1209            0.021024703979492188
68              0.5             1139            [54,31,62,40,3,63]                                 6                              5001            740             0.017016887664794922
68              0.75            1708            [31,67,60,2,21,24,39,48,3]                         9                              5005            419             0.019020557403564453
69              0.125           293             [48,47,36]                                         3                              5001            1281            0.02103137969970703
69              0.25            586             [16,13,57]                                         3                              5000            1207            0.02001953125  
69              0.5             1173            [23,59,35,47,4]                                    5                              5000            772             0.01802372932434082
69              0.75            1759            [54,31,60,33,65,12,56,11,29]                       9                              5009            414             0.02053070068359375
70              0.125           301             [11,33,20]                                         3                              5003            1262            0.02001953125  
