Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
46              0.125           129             [19,5]                                             2                              1002            275             0.004999876022338867
46              0.25            258             [31,41,6]                                          3                              1002            234             0.00400090217590332
46              0.5             517             [39,24,8,44,28]                                    5                              1005            156             0.002999544143676758
46              0.75            776             [4,22,36,21,10,13,28,17]                           8                              1003            78              0.004000186920166016
47              0.125           135             [23,1,41]                                          3                              1003            243             0.003999948501586914
47              0.25            270             [11,25,8]                                          3                              1003            235             0.004000186920166016
47              0.5             540             [26,20,30,13,2]                                    5                              1010            154             0.003999948501586914
47              0.75            810             [19,11,26,21,45,31,7,34]                           8                              1006            82              0.004000425338745117
48              0.125           141             [26,14,25]                                         3                              1002            242             0.004002809524536133
48              0.25            282             [27,10,24]                                         3                              1002            230             0.004002094268798828
48              0.5             564             [11,29,36,7,2]                                     5                              1002            150             0.002997159957885742
48              0.75            846             [4,39,5,11,24,43,32,30,17]                         9                              1004            82              0.0040018558502197266
49              0.125           147             [19,39,17]                                         3                              1002            249             0.004508495330810547
49              0.25            294             [26,5,15,3,12]                                     5                              1002            163             0.0030014514923095703
49              0.5             588             [43,22,8,7,13]                                     5                              1002            153             0.003998994827270508
49              0.75            882             [4,15,23,42,25,22,21,7,35,10,33]                   11                             1011            76              0.003999471664428711
50              0.125           153             [23,48]                                            2                              1000            270             0.004000186920166016
50              0.25            306             [27,22,30]                                         3                              1003            234             0.004001617431640625
50              0.5             612             [11,8,30,2,35]                                     5                              1003            151             0.003998994827270508
50              0.75            918             [4,19,22,14,10,30,41,1,12]                         9                              1008            80              0.003999948501586914
51              0.125           159             [50,22,34]                                         3                              1001            254             0.004000663757324219
51              0.25            318             [26,20,6]                                          3                              1003            235             0.003998994827270508
51              0.5             637             [4,22,24,49,41]                                    5                              1003            154             0.004000186920166016
51              0.75            956             [26,15,36,3,40,0,7,37]                             8                              1009            80              0.003000497817993164
52              0.125           165             [23,0]                                             2                              1002            269             0.005000591278076172
52              0.25            331             [0,4,19,39]                                        4                              1000            181             0.003998994827270508
52              0.5             663             [43,5,29,15,32]                                    5                              1005            151             0.0029997825622558594
52              0.75            994             [5,11,23,47,44,51,40,6,12]                         9                              1008            83              0.004000186920166016
53              0.125           172             [19,8,25]                                          3                              1001            242             0.004000186920166016
53              0.25            344             [9,30,35]                                          3                              1001            238             0.003999233245849609
53              0.5             689             [26,49,38,35,28]                                   5                              1003            151             0.003000497817993164
53              0.75            1033            [5,11,24,51,27,1,18,16,35]                         9                              1006            84              0.0030007362365722656
54              0.125           178             [4,53,17]                                          3                              1000            259             0.0049991607666015625
